partner_id,agency_name,partner_ref,language,title,description,deal_type,property_type,rent_monthly_chf,extra_costs_chf,purchase_price_chf,street,zipcode,city,rooms,living_area_m2,floor,contact_email,image_urls,features,available_from
P-100,Immo Zentrum AG,AG100-00001,de,Helle 3.5-Zimmer-Wohnung in Thun,Helle Wohnung mit 3.5 Zimmern und 78 m² Wohnfläche an der Aarestrasse 9 in Thun. Verfügbar ab 2027-02-01.,rent,flat,1530,170,,Aarestrasse 9,3600,Thun,3.5,78,0,david.rossi@immo-zentrum.ch,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1200&q=80|https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80|https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=1200&q=80,minergie|washing_machine,2027-02-01
P-100,Immo Zentrum AG,AG100-00002,de,Gepflegte 4.5-Zimmer-Maisonette-Wohnung in Uster,Gepflegte Maisonette-Wohnung mit 4.5 Zimmern und 107 m² Wohnfläche im 3. Stock an der Seestrasse 53 in Uster. Zur Ausstattung gehören Garten. Verfügbar ab 2026-09-01.,buy,duplex,,,783000,Seestrasse 53,8610,Uster,4.5,107,3,luca.frei@immo-zentrum.ch,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1200&q=80|https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80|https://images.unsplash.com/photo-1613545325278-f24b0cae1224?w=1200&q=80|https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&q=80,garden|minergie,2026-09-01
P-101,Wohntraum Immobilien GmbH,AG101-00001,fr,Appartement moderne de 3.5 pièces à Sion,"Appartement moderne de 3.5 pièces avec 92 m² de surface habitable au 1er étage, situé Avenue de la Gare 84 à Sion. Comprend cheminée. Disponible dès le 2026-10-01.",rent,flat,1840,180,,Avenue de la Gare 84,1950,Sion,3.5,92,1,marc.frei@wohntraum-immo.ch,https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80|https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=1200&q=80|https://images.unsplash.com/photo-1613545325278-f24b0cae1224?w=1200&q=80,fireplace|storage_room,2026-10-01
P-102,Régie du Lac SA,AG102-00001,fr,Attique charmant de 1.5 pièces à Sion,"Attique charmant de 1.5 pièces avec 34 m² de surface habitable, situé Rue du Grand-Pont 28 à Sion. Comprend cheminée et garage. Disponible dès le 2026-09-01.",buy,attic_flat,,,256000,Rue du Grand-Pont 28,1950,Sion,1.5,34,0,luca.keller@regiedulac.ch,https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80|https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200&q=80|https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=1200&q=80|https://images.unsplash.com/photo-1613545325278-f24b0cae1224?w=1200&q=80,dishwasher|fireplace|garage|garden|storage_room,2026-09-01
P-104,Casa Bella Immobiliare SA,AG104-00001,fr,Duplex central de 1.5 pièces à Genève,"Duplex central de 1.5 pièces avec 44 m² de surface habitable, situé Rue du Rhône 114 à Genève. Comprend ascenseur. Disponible dès le 2026-12-01.",buy,duplex,,,542000,Rue du Rhône 114,1205,Genève,1.5,44,0,elena.keller@casabella-immo.ch,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=1200&q=80|https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80|https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1200&q=80|https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=1200&q=80,elevator|minergie,2026-12-01
P-103,Alpina Real Estate AG,AG103-00001,fr,Studio calme de 1.5 pièces à Neuchâtel,"Studio calme de 1.5 pièces avec 44 m² de surface habitable au 1er étage, situé Faubourg de l'Hôpital 119 à Neuchâtel. Disponible dès le 2026-09-01.",rent,studio,890,180,,Faubourg de l'Hôpital 119,2000,Neuchâtel,1.5,44,1,elena.martin@alpina-realestate.ch,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=1200&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=1200&q=80,dishwasher|minergie|washing_machine,2026-09-01
P-101,Wohntraum Immobilien GmbH,AG101-00002,fr,Appartement rénové de 3.5 pièces à Neuchâtel,"Appartement rénové de 3.5 pièces avec 80 m² de surface habitable au 2e étage, situé Rue du Seyon 86 à Neuchâtel. Comprend cheminée et garage. Disponible dès le 2026-10-01.",buy,flat,,,734000,Rue du Seyon 86,2000,Neuchâtel,3.5,80,2,fraud@wohntraum-immo.ch,https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=1200&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=1200&q=80,dishwasher|fireplace|garage|storage_room,2026-10-01
P-101,Wohntraum Immobilien GmbH,AG101-00003,de,Helle 3.5-Zimmer-Wohnung in Winterthur,Helle Wohnung mit 3.5 Zimmern und 93 m² Wohnfläche im 5. Stock an der Marktgasse 43 in Winterthur. Zur Ausstattung gehören Balkon und Garten. Verfügbar ab 2027-01-01.,rent,flat,2120,320,,Marktgasse 43,8400,Winterthur,3.5,93,5,anna.steiner@wohntraum-immo.ch,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=1200&q=80|https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200&q=80|https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&q=80,balcony|dishwasher|garden|parking|washing_machine,2027-01-01
P-102,Régie du Lac SA,AG102-00002,de,Helle 2.5-Zimmer-Wohnung in Aarau,Helle Wohnung mit 2.5 Zimmern und 65 m² Wohnfläche im 6. Stock an der Igelweid 27 in Aarau. Verfügbar ab 2026-10-01.,rent,flat,1420,220,,Igelweid 27,5000,Aarau,2.5,65,6,david.frei@regiedulac.ch,https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?w=1200&q=80|https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=1200&q=80|https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1200&q=80,dishwasher|pets_allowed,2026-10-01
P-101,Wohntraum Immobilien GmbH,AG101-00004,de,Zentrales 4.5-Zimmer-Einfamilienhaus in Zug,Zentrales Einfamilienhaus mit 4.5 Zimmern und 150 m² Wohnfläche an der Baarerstrasse 110 in Zug. Zur Ausstattung gehören Garage und Garten. Verfügbar ab 2026-12-01.,rent,house,5100,330,,Baarerstrasse 110,6300,Zug,4.5,150,,anna.dubois@wohntraum-immo.ch,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=1200&q=80|https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80|https://images.unsplash.com/photo-1613545325278-f24b0cae1224?w=1200&q=80,dishwasher|garage|garden|parking,2026-12-01
